,LATITUDE,LONGITUDE,ZIP CODE
3195,40.686756,-73.9938,11201
3196,40.711166,-73.9489,11211
3197,40.736496,-73.909225,11377
3200,40.576626,-73.98478,11224
3207,40.717194,-73.98411,10002
3219,40.688995,-73.78581,11433
3222,40.86955,-73.88175,10458
3226,40.75228,-73.9897,10018
3229,40.704876,-73.81279,11435
3238,40.84784,-73.93953,10033
3239,40.701588,-73.98863,11201
3241,40.699707,-73.95718,11206
3244,40.596745,-73.985275,11214
3254,40.679565,-73.93436,11213
3257,40.761234,-73.96389,10022
3261,40.676134,-73.8192263,11420
3267,40.599255,-73.9894,11214
3272,40.5763924,-73.9868932,11224
3281,40.77286,-73.98955,10023
3284,40.60912,-73.99356,11214
3287,40.6448126,-73.9746424,11218
3289,40.753677,-73.914474,11103
3290,40.8382,-73.92371,10452
3294,40.698246,-73.98055,11237
3304,40.75092,-73.86224,11368
3316,40.6119959,-74.0013182,11214
3330,40.615562,-73.979645,11204
3339,40.659337,-73.9272553,11212
3341,40.7524109,-73.9783479,10037
3359,40.6896895,-73.9923627,11208
3362,40.634117,-73.94588,11210
3373,40.631844,-74.15222,10303
3375,40.693226,-73.96785,11205
3377,40.853115,-73.927246,10040
3379,40.570835,-74.16983,10312
3382,40.86877,-73.83174,10475
3389,40.730118,-73.86232,11375
3395,40.652462,-73.92285,11203
3405,40.6975608,-73.8527467,11418
