COLLISION_ID,index,CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,STREET
4273765,13356,1/15/20,19:00:00,QUEENS,11104,40.742508,-73.91788,"(40.742508, -73.91788)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,GREENPOINT AVENUE
4273801,13252,1/15/20,19:00:00,MANHATTAN,10016,40.744778,-73.97589,"(40.744778, -73.97589)",1,0,0,0,1,0,0,0,Unsafe Lane Changing,Other Lighting Defects,Taxi,E-Bike,2 AVENUE
4273879,13362,1/15/20,20:00:00,MANHATTAN,10012,40.72545,-73.99305,"(40.72545, -73.99305)",1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Station Wagon/Sport Utility Vehicle,E-Bike,BLEECKER STREET
4273915,13250,1/15/20,21:00:00,QUEENS,11414,40.65736,-73.84046,"(40.65736, -73.84046)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,160 AVENUE
4274753,13353,1/16/20,1:00:00,BROOKLYN,11208,40.677624,-73.93308,"(40.677624, -73.93308)",1,0,0,0,1,0,0,0,Pavement Slippery,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Sedan,E-Scooter,ATLANTIC AVENUE
4274766,13177,1/16/20,14:00:00,BRONX,10462,40.84062,-73.85409,"(40.84062, -73.85409)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,Bike,METROPOLITAN AVENUE
4274355,13276,1/16/20,17:00:00,QUEENS,11375,40.72703,-73.85392,"(40.72703, -73.85392)",1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,67 AVENUE
4277878,13254,1/16/20,17:00:00,BRONX,10457,40.845238,-73.900894,"(40.845238, -73.900894)",1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,Sedan,Bike,PARK AVENUE
4274922,13285,1/16/20,18:00:00,MANHATTAN,10016,40.74954,-73.97744,"(40.74954, -73.97744)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Taxi,Bike,LEXINGTON AVENUE
4274513,13316,1/16/20,19:00:00,MANHATTAN,10032,40.832764,-73.94583,"(40.832764, -73.94583)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,E-Bike,BROADWAY
4274816,13281,1/16/20,19:00:00,BROOKLYN,11228,40.6067,-74.010826,"(40.6067, -74.010826)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Bike,Station Wagon/Sport Utility Vehicle,BATH AVENUE
4274376,13337,1/16/20,21:00:00,QUEENS,11377,40.756298,-73.89893,"(40.756298, -73.89893)",1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Bike,32 AVENUE
4274426,13330,1/16/20,22:00:00,QUEENS,11354,40.761547,-73.83113,"(40.761547, -73.83113)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,Station Wagon/Sport Utility Vehicle,Bike,MAIN STREET
4276916,13217,1/17/20,13:00:00,BROOKLYN,11210,40.638603,-73.94827,"(40.638603, -73.94827)",1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Sedan,Bike,NOSTRAND AVENUE
4276406,13188,1/17/20,13:00:00,QUEENS,11432,40.704304,-73.80315,"(40.704304, -73.80315)",1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,Sedan,Bike,153 STREET
4275979,13194,1/17/20,13:00:00,MANHATTAN,10022,40.76155,-73.96659,"(40.76155, -73.96659)",1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,View Obstructed/Limited,Bike,Beverage Truck,EAST 59 STREET
