collision_id,dates,times,borough,zip_code,latitude,longitude,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code_1,vehicle_type_code_2,street,bike_lane,day_of_week,month,temperature,visibility,humidity,wind_speed,weather_main
4279802,1/15/20,6:00:00,QUEENS,11373,40.739113,-73.88975,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,station wagon/sport utility vehicle,Bike,QUEENS BOULEVARD,0,Wednesday,January,43.38,3219,90,7,Mist
4277045,1/15/20,7:00:00,BROOKLYN,11201,40.69192,-73.97896,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,ASHLAND PLACE,1,Wednesday,January,43.7,4828,93,9.17,Mist
4273547,1/15/20,10:00:00,BROOKLYN,11209,40.62214,-74.02567,1,0,0,0,1,0,0,0,Unspecified,Unspecified,sedan,E-Scooter,85 STREET,1,Wednesday,January,42.76,10000,91,10.29,Clouds
4274014,1/15/20,11:00:00,MANHATTAN,10032,40.844677,-73.93886,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,BROADWAY,0,Wednesday,January,42.76,10000,88,16.11,Clouds
4274014,1/15/20,11:00:00,MANHATTAN,10032,40.844677,-73.93886,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,sedan,Bike,BROADWAY,0,Wednesday,January,42.76,10000,88,16.11,Clouds
4273925,1/15/20,11:00:00,QUEENS,11373,40.748367,-73.87693,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,sedan,Bike,CASE STREET,0,Wednesday,January,42.76,10000,88,16.11,Clouds
4273925,1/15/20,11:00:00,QUEENS,11373,40.748367,-73.87693,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Driver Inattention/Distraction,sedan,Bike,CASE STREET,0,Wednesday,January,42.76,10000,88,16.11,Clouds
4274062,1/15/20,16:00:00,BRONX,10460,40.84183,-73.88389,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,bike,Sedan,EAST TREMONT AVENUE,0,Wednesday,January,47.93,10000,55,14.99,Clear
4273756,1/15/20,18:00:00,QUEENS,11101,40.748924,-73.937386,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,pick-up truck,Bike,QUEENS BOULEVARD,0,Wednesday,January,50.43,10000,49,12.75,Clear
4273756,1/15/20,18:00:00,QUEENS,11101,40.748924,-73.937386,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,pick-up truck,Bike,QUEENS BOULEVARD,0,Wednesday,January,50.43,10000,49,12.75,Clear
4273761,1/15/20,18:00:00,BROOKLYN,11213,40.672077,-73.941956,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,STERLING PLACE,1,Wednesday,January,50.43,10000,49,12.75,Clear
4273761,1/15/20,18:00:00,BROOKLYN,11213,40.672077,-73.941956,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,sedan,Bike,STERLING PLACE,1,Wednesday,January,50.43,10000,49,12.75,Clear
4273765,1/15/20,19:00:00,QUEENS,11104,40.742508,-73.91788,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,GREENPOINT AVENUE,0,Wednesday,January,51.3,10000,47,11.41,Clear
4273765,1/15/20,19:00:00,QUEENS,11104,40.742508,-73.91788,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,station wagon/sport utility vehicle,Bike,GREENPOINT AVENUE,0,Wednesday,January,51.3,10000,47,11.41,Clear
4273801,1/15/20,19:00:00,MANHATTAN,10016,40.744778,-73.97589,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Other Lighting Defects,taxi,E-Bike,2 AVENUE,0,Wednesday,January,51.3,10000,47,11.41,Clear
4273801,1/15/20,19:00:00,MANHATTAN,10016,40.744778,-73.97589,1,0,0,0,1,0,0,0,Unsafe Lane Changing,Other Lighting Defects,taxi,E-Bike,2 AVENUE,0,Wednesday,January,51.3,10000,47,11.41,Clear
4273879,1/15/20,20:00:00,MANHATTAN,10012,40.72545,-73.99305,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,station wagon/sport utility vehicle,E-Bike,BLEECKER STREET,1,Wednesday,January,51.78,10000,46,10.29,Clear
4273915,1/15/20,21:00:00,QUEENS,11414,40.65736,-73.84046,1,0,0,0,1,0,0,0,Failure to Yield Right-of-Way,Unspecified,station wagon/sport utility vehicle,Bike,160 AVENUE,0,Wednesday,January,50.86,10000,48,12.75,Clear
4274753,1/16/20,1:00:00,BROOKLYN,11208,40.677624,-73.93308,1,0,0,0,1,0,0,0,Pavement Slippery,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,sedan,E-Scooter,ATLANTIC AVENUE,1,Thursday,January,46.4,10000,58,6.93,Clear
4282586,1/31/20,17:00:00,MANHATTAN,10022,40.762913,-73.96981,1,0,0,0,1,0,0,0,Unspecified,Unspecified,armored truck,Bike,PARK AVENUE,0,Friday,January,40.78,10000,68,8.05,Clouds
4282586,1/31/20,17:00:00,MANHATTAN,10022,40.762913,-73.96981,1,0,0,0,1,0,0,0,Unspecified,Unspecified,armored truck,Bike,PARK AVENUE,0,Friday,January,40.78,10000,68,8.05,Clouds
4274766,1/16/20,14:00:00,BRONX,10462,40.84062,-73.85409,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,station wagon/sport utility vehicle,Bike,METROPOLITAN AVENUE,0,Thursday,January,48.27,9656,83,33.33,Rain
4274355,1/16/20,17:00:00,QUEENS,11375,40.72703,-73.85392,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,station wagon/sport utility vehicle,Bike,67 AVENUE,0,Thursday,January,48.85,10000,43,32.21,Rain
4274355,1/16/20,17:00:00,QUEENS,11375,40.72703,-73.85392,1,0,0,0,1,0,0,0,Passing or Lane Usage Improper,Unspecified,station wagon/sport utility vehicle,Bike,67 AVENUE,0,Thursday,January,48.85,10000,43,32.21,Rain
